"Timestamp","Vilken.åldersgrupp.tillhör.du.","Är.du.prenumerant.hos.DN.","Hur.troligt.är.det.att.du.tecknar.paketet.","Hur.troligt.är.det.att.du.tecknar.paketet..1","Hur.troligt.är.det.att.du.tecknar.paketet..2","Hur.troligt.är.det.att.du.tecknar.paketet..3","Hur.troligt.är.det.att.du.tecknar.paketet..4","Hur.troligt.är.det.att.du.tecknar.paketet..5","Hur.troligt.är.det.att.du.tecknar.paketet..6","Hur.troligt.är.det.att.du.tecknar.paketet..7"
"2021/03/22 10:51:00 am CET","30-39 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 10:51:40 am CET","40-65 år","Nej, men har varit förut",1,5,2,5,1,1,2,1
"2021/03/22 10:52:26 am CET","Över 65 år","Ja (papperstidning)",1,5,2,2,2,2,3,2
"2021/03/22 10:52:48 am CET","Under 30 år","Ja (enbart digitalt)",1,5,2,5,1,1,2,1
"2021/03/22 10:52:51 am CET","Över 65 år","Ja (papperstidning)",5,5,1,5,1,1,1,3
"2021/03/22 10:53:12 am CET","Över 65 år","Ja (papperstidning)",4,5,1,5,1,5,3,2
"2021/03/22 10:53:24 am CET","40-65 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 10:53:55 am CET","Över 65 år","Ja (papperstidning)",1,3,1,2,1,1,1,1
"2021/03/22 10:54:03 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,4,1,1,1,1
"2021/03/22 10:54:12 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,1,1,1,1,1
"2021/03/22 10:54:56 am CET","Under 30 år","Ja (enbart digitalt)",4,5,2,5,1,2,4,3
"2021/03/22 10:55:20 am CET","Över 65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:56:08 am CET","40-65 år","Ja (enbart digitalt)",2,4,3,4,2,3,3,1
"2021/03/22 10:56:51 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 10:56:51 am CET","Under 30 år","Ja (enbart digitalt)",1,2,1,2,1,1,1,1
"2021/03/22 10:57:03 am CET","30-39 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 10:57:10 am CET","Över 65 år","Nej, men har varit förut",2,5,1,4,1,2,1,3
"2021/03/22 10:57:26 am CET","40-65 år","Ja (enbart digitalt)",1,3,1,2,1,1,1,1
"2021/03/22 10:57:41 am CET","30-39 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 10:57:49 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:58:15 am CET","Över 65 år","Ja (enbart digitalt)",2,3,1,4,2,2,2,1
"2021/03/22 10:58:19 am CET","Över 65 år","Ja (enbart digitalt)",3,4,3,4,3,3,3,3
"2021/03/22 11:00:14 am CET","30-39 år","Ja (enbart digitalt)",3,5,3,5,3,3,3,3
"2021/03/22 11:00:48 am CET","Över 65 år","Ja (enbart digitalt)",2,2,2,2,2,2,2,2
"2021/03/22 11:00:49 am CET","30-39 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 11:01:02 am CET","40-65 år","Ja (papperstidning)",5,5,1,1,1,1,1,5
"2021/03/22 11:01:05 am CET","40-65 år","Nej, men har varit förut",1,1,1,1,1,1,1,1
"2021/03/22 11:01:12 am CET","30-39 år","Ja (enbart digitalt)",2,5,2,5,1,2,2,2
"2021/03/22 11:01:26 am CET","Över 65 år","Ja (enbart digitalt)",3,5,3,5,2,2,2,2
"2021/03/22 11:02:12 am CET","Över 65 år","Ja (enbart digitalt)",2,4,2,4,1,1,2,2
"2021/03/22 11:02:39 am CET","Över 65 år","Ja (papperstidning)",2,5,4,1,1,2,1,3
"2021/03/22 11:02:51 am CET","Över 65 år","Ja (enbart digitalt)",3,3,3,3,3,3,3,3
"2021/03/22 11:03:12 am CET","40-65 år","Ja (enbart digitalt)",2,4,4,4,2,2,2,2
"2021/03/22 11:04:01 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,4,1,1,2,1
"2021/03/22 11:06:03 am CET","40-65 år","Ja (enbart digitalt)",2,4,3,5,3,3,3,2
"2021/03/22 11:06:03 am CET","Över 65 år","Ja (papperstidning)",3,4,3,2,1,2,2,2
"2021/03/22 11:06:52 am CET","Över 65 år","Ja (enbart digitalt)",2,2,2,2,2,2,2,2
"2021/03/22 11:07:01 am CET","Över 65 år","Ja (papperstidning)",5,4,2,3,2,3,3,5
"2021/03/22 11:07:17 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:07:23 am CET","Över 65 år","Ja (enbart digitalt)",3,5,3,5,1,1,3,3
"2021/03/22 11:07:34 am CET","Över 65 år","Ja (enbart digitalt)",5,3,1,5,1,1,4,4
"2021/03/22 11:07:52 am CET","40-65 år","Ja (enbart digitalt)",4,5,2,5,2,3,3,2
"2021/03/22 11:08:08 am CET","Över 65 år","Ja (enbart digitalt)",1,1,1,3,2,1,1,1
"2021/03/22 11:08:12 am CET","40-65 år","Ja (enbart digitalt)",1,4,2,3,1,1,2,1
"2021/03/22 11:08:13 am CET","40-65 år","Ja (enbart digitalt)",1,3,2,3,1,1,1,1
"2021/03/22 11:09:12 am CET","40-65 år","Ja (enbart digitalt)",2,5,2,3,1,1,2,2
"2021/03/22 11:09:40 am CET","Över 65 år","Nej, men har varit förut",1,1,1,1,1,1,1,1
"2021/03/22 11:09:44 am CET","Över 65 år","Ja (enbart digitalt)",3,4,1,5,1,4,1,1
"2021/03/22 11:10:06 am CET","40-65 år","Ja (papperstidning)",3,3,4,3,3,3,3,4
"2021/03/22 11:10:38 am CET","Över 65 år","Ja (enbart digitalt)",3,5,3,5,2,2,3,2
"2021/03/22 11:11:27 am CET","Över 65 år","Ja (enbart digitalt)",1,5,1,1,1,1,1,1
"2021/03/22 11:11:52 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:12:02 am CET","Över 65 år","Ja (enbart digitalt)",3,2,3,2,3,4,2,3
"2021/03/22 11:12:04 am CET","30-39 år","Ja (enbart digitalt)",2,4,2,4,1,2,2,3
"2021/03/22 11:12:05 am CET","Över 65 år","Ja (enbart digitalt)",1,5,1,1,1,1,1,1
"2021/03/22 11:12:21 am CET","40-65 år","Ja (enbart digitalt)",1,2,1,2,1,1,1,1
"2021/03/22 11:12:49 am CET","40-65 år","Ja (papperstidning)",3,4,1,5,1,1,4,3
"2021/03/22 11:12:59 am CET","40-65 år","Ja (enbart digitalt)",4,5,2,2,1,2,2,4
"2021/03/22 11:13:02 am CET","Över 65 år","Ja (enbart digitalt)",1,5,1,1,1,1,1,1
"2021/03/22 11:13:56 am CET","40-65 år","Nej, men har varit förut",2,4,3,4,1,1,3,1
"2021/03/22 11:13:58 am CET","Över 65 år","Ja (papperstidning)",3,5,2,4,1,1,1,3
"2021/03/22 11:14:29 am CET","Under 30 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:14:34 am CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 11:14:40 am CET","30-39 år","Ja (enbart digitalt)",3,5,2,4,1,1,1,2
"2021/03/22 11:15:02 am CET","40-65 år","Ja (enbart digitalt)",4,3,2,1,2,2,3,3
"2021/03/22 11:15:14 am CET","Över 65 år","Ja (papperstidning)",2,1,1,1,1,1,1,2
"2021/03/22 11:15:44 am CET","40-65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 11:16:13 am CET","40-65 år","Ja (enbart digitalt)",2,4,1,4,1,1,1,1
"2021/03/22 11:16:34 am CET","40-65 år","Ja (enbart digitalt)",1,2,1,5,1,1,1,1
"2021/03/22 11:18:03 am CET","40-65 år","Ja (enbart digitalt)",3,5,1,5,2,3,5,3
"2021/03/22 11:18:08 am CET","Över 65 år","Ja (enbart digitalt)",2,5,1,5,1,1,2,1
"2021/03/22 11:18:33 am CET","40-65 år","Ja (enbart digitalt)",1,4,1,3,1,1,1,1
"2021/03/22 11:18:53 am CET","40-65 år","Nej, men har varit förut",1,1,1,1,1,1,1,1
"2021/03/22 11:18:54 am CET","40-65 år","Ja (enbart digitalt)",1,4,1,2,1,1,1,1
"2021/03/22 11:22:24 am CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 11:22:39 am CET","40-65 år","Ja (papperstidning)",1,4,2,4,2,1,3,1
"2021/03/22 11:23:23 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:24:13 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,1,1,1,1,1
"2021/03/22 11:25:31 am CET","Över 65 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 11:26:00 am CET","40-65 år","Ja (enbart digitalt)",1,5,3,3,1,1,2,2
"2021/03/22 11:28:34 am CET","40-65 år","Ja (papperstidning)",3,3,2,5,1,4,2,3
"2021/03/22 11:28:36 am CET","40-65 år","Ja (papperstidning)",3,2,2,5,1,5,2,5
"2021/03/22 11:29:06 am CET","Över 65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 11:29:28 am CET","40-65 år","Ja (papperstidning)",2,2,2,2,2,2,2,2
"2021/03/22 11:29:51 am CET","40-65 år","Ja (papperstidning)",2,2,2,2,2,2,2,2
"2021/03/22 11:30:24 am CET","Över 65 år","Ja (enbart digitalt)",2,4,3,3,3,2,4,2
"2021/03/22 11:31:54 am CET","30-39 år","Ja (enbart digitalt)",3,4,3,4,3,3,4,4
"2021/03/22 11:32:06 am CET","Över 65 år","Ja (enbart digitalt)",1,5,2,5,1,1,2,1
"2021/03/22 11:32:20 am CET","40-65 år","Ja (enbart digitalt)",4,5,2,5,2,2,2,3
"2021/03/22 11:32:37 am CET","Över 65 år","Nej, men har varit förut",2,4,2,3,2,2,3,2
"2021/03/22 11:32:38 am CET","40-65 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 11:32:55 am CET","40-65 år","Ja (enbart digitalt)",2,4,2,4,2,2,3,3
"2021/03/22 11:33:11 am CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 11:34:21 am CET","40-65 år","Ja (enbart digitalt)",2,4,3,5,1,1,1,2
"2021/03/22 11:35:13 am CET","30-39 år","Ja (enbart digitalt)",1,4,1,4,1,1,2,1
"2021/03/22 11:35:20 am CET","40-65 år","Ja (enbart digitalt)",4,5,1,5,1,1,3,1
"2021/03/22 11:35:23 am CET","30-39 år","Ja (papperstidning)",1,5,3,5,1,1,5,3
"2021/03/22 11:35:33 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,3,1,1,1,1
"2021/03/22 11:37:03 am CET","Över 65 år","Ja (enbart digitalt)",3,5,3,5,1,3,1,3
"2021/03/22 11:37:09 am CET","30-39 år","Ja (enbart digitalt)",1,5,3,2,1,1,1,1
"2021/03/22 11:37:39 am CET","40-65 år","Ja (enbart digitalt)",1,5,3,3,1,3,1,3
"2021/03/22 11:38:00 am CET","40-65 år","Nej, men har varit förut",1,2,1,1,1,1,1,1
"2021/03/22 11:38:17 am CET","Över 65 år","Ja (enbart digitalt)",3,4,1,5,1,1,1,1
"2021/03/22 11:38:54 am CET","40-65 år","Ja (enbart digitalt)",1,5,2,1,1,1,2,1
"2021/03/22 11:39:15 am CET","40-65 år","Nej och har aldrig varit",2,4,2,4,1,2,2,3
"2021/03/22 11:39:44 am CET","Över 65 år","Nej och har aldrig varit",1,1,1,1,1,1,1,1
"2021/03/22 11:40:18 am CET","40-65 år","Ja (enbart digitalt)",2,4,3,5,1,2,3,3
"2021/03/22 11:41:53 am CET","40-65 år","Ja (enbart digitalt)",2,4,4,4,1,4,1,4
"2021/03/22 11:42:24 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,4,1,1,1,1
"2021/03/22 11:42:27 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:42:31 am CET","40-65 år","Ja (papperstidning)",3,3,3,5,3,3,2,3
"2021/03/22 11:42:45 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:42:46 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,5,1,1,1,1
"2021/03/22 11:42:52 am CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 11:43:41 am CET","40-65 år","Ja (papperstidning)",3,5,2,5,1,2,4,3
"2021/03/22 11:44:03 am CET","40-65 år","Ja (enbart digitalt)",4,5,4,5,2,2,4,3
"2021/03/22 11:44:32 am CET","Över 65 år","Ja (enbart digitalt)",1,3,2,3,1,1,2,1
"2021/03/22 11:44:57 am CET","40-65 år","Ja (enbart digitalt)",2,4,3,4,1,2,2,2
"2021/03/22 11:45:08 am CET","40-65 år","Ja (enbart digitalt)",1,5,2,5,1,2,2,1
"2021/03/22 11:45:18 am CET","40-65 år","Ja (papperstidning)",2,1,1,1,1,1,1,1
"2021/03/22 11:46:00 am CET","40-65 år","Ja (papperstidning)",3,3,3,5,1,1,3,2
"2021/03/22 11:46:48 am CET","40-65 år","Ja (enbart digitalt)",1,3,1,4,1,1,1,1
"2021/03/22 11:47:35 am CET","Över 65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:47:36 am CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 11:47:59 am CET","Över 65 år","Nej, men har varit förut",1,3,1,3,1,1,1,1
"2021/03/22 11:50:26 am CET","40-65 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 11:52:27 am CET","40-65 år","Nej, men har varit förut",1,2,1,2,1,1,1,1
"2021/03/22 11:53:39 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 11:53:41 am CET","Över 65 år","Ja (enbart digitalt)",1,4,1,4,1,1,1,1
"2021/03/22 11:54:04 am CET","Under 30 år","Nej och har aldrig varit",1,1,1,1,1,1,1,1
"2021/03/22 11:54:21 am CET","30-39 år","Ja (enbart digitalt)",1,4,1,5,1,2,1,1
"2021/03/22 11:54:50 am CET","40-65 år","Ja (enbart digitalt)",2,4,3,4,2,1,3,2
"2021/03/22 11:55:24 am CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 11:55:40 am CET","40-65 år","Ja (enbart digitalt)",3,5,4,4,2,2,3,3
"2021/03/22 11:58:42 am CET","Under 30 år","Ja (enbart digitalt)",1,4,2,3,1,1,1,1
"2021/03/22 11:59:59 am CET","Över 65 år","Ja (enbart digitalt)",5,5,5,5,5,5,5,5
"2021/03/22 12:01:17 pm CET","Över 65 år","Nej, men har varit förut",1,1,1,1,1,1,1,2
"2021/03/22 12:01:58 pm CET","Över 65 år","Ja (papperstidning)",2,2,2,2,2,2,2,1
"2021/03/22 12:02:25 pm CET","Över 65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 12:02:50 pm CET","40-65 år","Ja (enbart digitalt)",3,4,1,5,2,2,1,1
"2021/03/22 12:03:00 pm CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 12:03:19 pm CET","40-65 år","Ja (enbart digitalt)",3,5,1,5,1,1,1,1
"2021/03/22 12:06:24 pm CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 12:08:12 pm CET","40-65 år","Ja (papperstidning)",4,5,4,5,2,3,2,2
"2021/03/22 12:09:23 pm CET","40-65 år","Ja (enbart digitalt)",2,5,2,5,2,2,2,2
"2021/03/22 12:09:48 pm CET","Över 65 år","Ja (papperstidning)",4,5,1,1,4,4,4,4
"2021/03/22 12:10:23 pm CET","30-39 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 12:10:48 pm CET","40-65 år","Nej, men har varit förut",1,1,1,1,1,1,1,1
"2021/03/22 12:11:25 pm CET","Över 65 år","Ja (enbart digitalt)",5,5,1,5,1,1,5,5
"2021/03/22 12:11:32 pm CET","Över 65 år","Ja (papperstidning)",4,4,1,1,1,2,1,4
"2021/03/22 12:13:03 pm CET","Över 65 år","Nej, men har varit förut",2,4,2,3,2,2,2,2
"2021/03/22 12:13:54 pm CET","40-65 år","Ja (enbart digitalt)",4,5,4,1,5,4,3,4
"2021/03/22 12:14:21 pm CET","40-65 år","Ja (enbart digitalt)",4,3,2,3,3,3,3,3
"2021/03/22 12:14:29 pm CET","Över 65 år","Ja (enbart digitalt)",2,4,3,4,2,2,3,2
"2021/03/22 12:14:49 pm CET","40-65 år","Ja (enbart digitalt)",1,5,1,4,1,1,1,1
"2021/03/22 12:15:25 pm CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,2
"2021/03/22 12:15:35 pm CET","40-65 år","Ja (enbart digitalt)",2,5,3,5,2,2,3,2
"2021/03/22 12:15:38 pm CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 12:16:15 pm CET","40-65 år","Nej, men har varit förut",2,2,1,2,1,1,2,2
"2021/03/22 12:17:55 pm CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 12:17:58 pm CET","Över 65 år","Ja (enbart digitalt)",2,3,2,3,2,2,2,2
"2021/03/22 12:18:06 pm CET","40-65 år","Ja (enbart digitalt)",3,5,4,5,2,2,4,3
"2021/03/22 12:18:11 pm CET","40-65 år","Ja (enbart digitalt)",1,4,1,4,1,1,2,1
"2021/03/22 12:19:22 pm CET","40-65 år","Ja (enbart digitalt)",1,3,1,1,1,1,1,1
"2021/03/22 12:19:52 pm CET","Över 65 år","Ja (papperstidning)",2,3,2,2,2,1,1,1
"2021/03/22 12:20:24 pm CET","40-65 år","Ja (papperstidning)",4,3,1,5,2,2,2,2
"2021/03/22 12:20:53 pm CET","40-65 år","Ja (enbart digitalt)",4,4,2,5,1,1,2,3
"2021/03/22 12:22:46 pm CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 12:23:15 pm CET","30-39 år","Ja (enbart digitalt)",1,4,2,4,1,1,1,2
"2021/03/22 12:23:21 pm CET","40-65 år","Nej och har aldrig varit",2,2,2,3,2,2,2,2
"2021/03/22 12:24:28 pm CET","40-65 år","Nej och har aldrig varit",1,3,1,3,1,1,1,1
"2021/03/22 12:26:48 pm CET","40-65 år","Ja (enbart digitalt)",1,4,2,4,1,1,2,1
"2021/03/22 12:26:55 pm CET","40-65 år","Ja (papperstidning)",1,2,2,2,2,2,2,2
"2021/03/22 12:28:07 pm CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 12:28:35 pm CET","40-65 år","Ja (papperstidning)",2,1,1,1,1,1,1,1
"2021/03/22 12:28:54 pm CET","Under 30 år","Ja (enbart digitalt)",1,2,1,2,1,1,1,1
"2021/03/22 12:30:52 pm CET","40-65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 12:30:55 pm CET","Över 65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 12:31:30 pm CET","Över 65 år","Ja (enbart digitalt)",1,2,1,5,1,1,1,1
"2021/03/22 12:31:45 pm CET","Över 65 år","Ja (enbart digitalt)",1,2,1,5,1,1,1,1
"2021/03/22 12:32:16 pm CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 12:32:20 pm CET","40-65 år","Ja (enbart digitalt)",2,3,2,4,1,1,2,2
"2021/03/22 12:32:35 pm CET","30-39 år","Ja (enbart digitalt)",2,3,2,3,1,2,2,2
"2021/03/22 12:32:47 pm CET","Över 65 år","Ja (enbart digitalt)",2,4,1,4,1,1,1,1
"2021/03/22 12:34:20 pm CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 12:34:21 pm CET","Över 65 år","Ja (enbart digitalt)",1,5,1,1,1,1,1,1
"2021/03/22 12:34:34 pm CET","40-65 år","Ja (papperstidning)",4,5,5,5,4,5,4,5
"2021/03/22 12:34:48 pm CET","40-65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 12:35:26 pm CET","40-65 år","Ja (enbart digitalt)",1,4,1,4,1,2,2,1
"2021/03/22 12:35:42 pm CET","40-65 år","Ja (enbart digitalt)",1,1,1,4,1,1,1,1
"2021/03/22 12:37:03 pm CET","40-65 år","Ja (enbart digitalt)",2,2,2,2,2,2,2,2
"2021/03/22 12:37:21 pm CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 12:38:30 pm CET","40-65 år","Ja (enbart digitalt)",3,4,2,4,2,3,3,3
"2021/03/22 12:39:27 pm CET","Över 65 år","Ja (papperstidning)",5,4,1,4,1,1,1,1
"2021/03/22 12:40:59 pm CET","Över 65 år","Ja (papperstidning)",2,4,1,4,1,2,4,2
"2021/03/22 12:41:58 pm CET","Över 65 år","Ja (enbart digitalt)",1,5,1,5,1,1,1,1
"2021/03/22 12:42:35 pm CET","40-65 år","Ja (papperstidning)",4,5,4,5,3,3,4,4
"2021/03/22 12:44:03 pm CET","Över 65 år","Ja (enbart digitalt)",1,2,1,1,1,1,1,1
"2021/03/22 12:44:12 pm CET","40-65 år","Ja (enbart digitalt)",1,3,1,3,1,1,1,1
"2021/03/22 12:44:32 pm CET","Över 65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 12:45:01 pm CET","Över 65 år","Ja (papperstidning)",4,4,2,5,3,3,3,3
"2021/03/22 12:45:26 pm CET","40-65 år","Ja (enbart digitalt)",1,4,1,5,1,1,1,1
"2021/03/22 12:46:01 pm CET","40-65 år","Ja (papperstidning)",2,2,2,2,1,1,1,1
